Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.util,CaseInsensitiveTest,testMaps,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
BungeeCord1,net.md_5.bungee.util,CaseInsensitiveTest,testSets,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.util,AddressUtilTest,testScope,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee,NativeCipherTest,testNative,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
BungeeCord1,net.md_5.bungee,NativeCipherTest,testNativeBenchmark,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
BungeeCord1,net.md_5.bungee,NativeCipherTest,testJDK,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee,NativeCipherTest,testJDKBenchmark,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee,NativeZlibTest,doTest,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
BungeeCord1,net.md_5.bungee,NativeZlibTest,testException,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
BungeeCord1,net.md_5.bungee,ThrottleTest,testThrottle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
BungeeCord1,net.md_5.bungee,ThrottleTest,testThrottle,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.ConnectionThrottle.unthrottle; net.md_5.bungee.ConnectionThrottle.throttle
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testEmptyComponentBuilderBuild,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testEmptyComponentBuilderCreate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderAppendBuild,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderAppendCreate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderAppendCreateMixedComponents,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderAppendBuildMixedComponents,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testComponentBuilderCursorInvalidPos,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testComponentBuilderCursor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testComponentBuilderCursor,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.ComponentBuilder.getCurrentComponent; net.md_5.bungee.api.chat.ComponentBuilder.append; net.md_5.bungee.api.chat.ComponentBuilder.setCursor; net.md_5.bungee.api.chat.ComponentBuilder.resetCursor
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderCreateReset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderBuildReset,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderCreate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderBuild,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testHoverEventContentsCreate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testHoverEventContentsCreate,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.chat.ComponentSerializer.parse; net.md_5.bungee.api.chat.ComponentBuilder.create
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderCloneCreate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testBuilderCloneBuild,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsBuilderTest,testHoverEventContentsBuild,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsFormatTest,testHasFormatting,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsFormatTest,testHasFormatting,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.setBold; net.md_5.bungee.api.chat.BaseComponent.hasFormatting
BungeeCord1,net.md_5.bungee.api.chat,ComponentsFormatTest,testFormattingOnlyTextConversion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsFormatTest,testFormattingOnlyTextConversion,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.getColor; net.md_5.bungee.api.chat.TextComponent.fromLegacyText
BungeeCord1,net.md_5.bungee.api.chat,ComponentsFormatTest,testFormatRetentionCopyFormattingCreate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsFormatTest,testFormatRetentionCopyFormattingBuild,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsFormatTest,testBuilderCreateFormatRetention,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsFormatTest,testBuilderBuildFormatRetention,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsLegacyTest,testBuilderAppendLegacyCreate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsLegacyTest,testLegacyConverter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
BungeeCord1,net.md_5.bungee.api.chat,ComponentsLegacyTest,testBuilderAppendLegacyBuild,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsLegacyTest,testLegacyResetInBuilderCreate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsLegacyTest,testLegacyResetInBuilderBuild,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testDummyRetaining,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testDummyRetaining,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.getColor; net.md_5.bungee.api.chat.ComponentBuilder.color; net.md_5.bungee.api.chat.ComponentBuilder.getCurrentComponent
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testComponentGettingExceptions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testComponentGettingExceptions,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.ComponentBuilder.append; net.md_5.bungee.api.chat.ComponentBuilder.getComponent
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testComponentParting,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testComponentParting,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.ComponentBuilder.removeComponent; net.md_5.bungee.api.chat.ComponentBuilder.getCurrentComponent; net.md_5.bungee.api.chat.ComponentBuilder.append; net.md_5.bungee.api.chat.ComponentBuilder.getComponent
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testModernShowAdvancement,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testBasicComponent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testBasicComponent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.toPlainText; net.md_5.bungee.api.chat.BaseComponent.toLegacyText; net.md_5.bungee.api.chat.BaseComponent.setColor
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testRepeated,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testStyleIsEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testStyleIsEmpty,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.ComponentStyle.builder; net.md_5.bungee.api.chat.ComponentStyle.isEmpty; net.md_5.bungee.api.chat.ComponentStyleBuilder.build; net.md_5.bungee.api.chat.ComponentStyleBuilder.bold
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testMissingPlaceholdersAdded,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testMissingPlaceholdersAdded,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.toPlainText; net.md_5.bungee.api.chat.BaseComponent.toLegacyText
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testJsonSerialisation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testTranslateComponent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testTranslateComponent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.toPlainText; net.md_5.bungee.api.chat.BaseComponent.toLegacyText; net.md_5.bungee.api.chat.BaseComponent.setColor
BungeeCord1,net.md_5.bungee.config,DefaultConfigurationTest,testDefaultValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
BungeeCord1,net.md_5.bungee.config,DefaultConfigurationTest,testDefaultValues,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.config.Configuration.set; net.md_5.bungee.config.Configuration.getInt
BungeeCord1,net.md_5.bungee.event,UnregisteringListenerTest,testPriority,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.protocol,TagUtilTest,testStringLiteral,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.protocol.packet,PluginMessageTest,testModerniseChannel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
BungeeCord1,net.md_5.bungee.scheduler,SchedulerTest,testCancel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
BungeeCord1,net.md_5.bungee.scheduler,SchedulerTest,testCancel,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.scheduler.ScheduledTask.getId; net.md_5.bungee.api.scheduler.ScheduledTask.getOwner; net.md_5.bungee.api.scheduler.TaskScheduler.cancel
BungeeCord1,net.md_5.bungee.scheduler,SchedulerTest,testScheduleAndRepeat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
